algorithm,bot,seed,budget,n_evaluations,wall_time_s,best_fitness
HHO,B1_dual_sma,0,5000,5000,1.9974422510022123,57211.61392493646
HHO,B1_dual_sma,1,5000,5000,1.88417120899976,41802.05166866313
HHO,B1_dual_sma,2,5000,5000,1.9989047090020904,57006.607416121326
HHO,B1_dual_sma,3,5000,5000,1.9955909169984807,57211.61392493646
HHO,B1_dual_sma,4,5000,5000,2.0425095009995857,48683.551135569774
PSO,B1_dual_sma,0,5000,5000,2.0224794590030797,58775.760931780125
PSO,B1_dual_sma,1,5000,5000,1.9199627920024795,50989.82733020279
PSO,B1_dual_sma,2,5000,5000,2.0110234589992615,58775.760931780125
PSO,B1_dual_sma,3,5000,5000,2.038899126000615,58775.760931780125
PSO,B1_dual_sma,4,5000,5000,2.0167600419990777,58775.760931780125
RandomSearch,B1_dual_sma,0,5000,5000,2.053272750999895,53987.32348114441
RandomSearch,B1_dual_sma,1,5000,5000,2.013439959999232,57211.61392493646
RandomSearch,B1_dual_sma,2,5000,5000,2.0431649179990927,58775.760931780125
RandomSearch,B1_dual_sma,3,5000,5000,2.0515778760018293,57211.61392493646
RandomSearch,B1_dual_sma,4,5000,5000,2.120651834000455,50232.31350694049
HHO,B2_compound,0,5000,5000,2.1657911680013058,57522.11730324997
HHO,B2_compound,1,5000,5000,2.3465502930012008,45418.16670333448
HHO,B2_compound,2,5000,5000,2.5767155419998744,49939.29125249997
HHO,B2_compound,3,5000,5000,2.495536668000568,53320.07178129216
HHO,B2_compound,4,5000,5000,2.491701792998356,53805.232252910006
PSO,B2_compound,0,5000,5000,2.695771168000647,50045.79794175444
PSO,B2_compound,1,5000,5000,2.755527459001314,57028.69233231379
PSO,B2_compound,2,5000,5000,2.860499251000874,58088.640457890826
PSO,B2_compound,3,5000,5000,2.8844915840018075,75193.46250990684
PSO,B2_compound,4,5000,5000,2.5118552099993394,77896.97996985534
RandomSearch,B2_compound,0,5000,5000,2.70901062700068,50714.050831107095
RandomSearch,B2_compound,1,5000,5000,2.644424459002039,55785.72749710485
RandomSearch,B2_compound,2,5000,5000,2.680572667999513,52533.69604787908
RandomSearch,B2_compound,3,5000,5000,2.7172340849974717,58102.952362188385
RandomSearch,B2_compound,4,5000,5000,2.710247042999981,59480.06952248482
